idx,file,result,chart_type
243,selection_bind_cylyr.vl.json,Y,point
244,selection_bind_origin.vl.json,Y,point
245,selection_clear_brush.vl.json,Y,point
246,selection_composition_and.vl.json,Y,heatmap
247,selection_composition_or.vl.json,Y,heatmap
248,selection_concat.vl.json,Y,point
249,selection_filter.vl.json,extent,point
250,selection_filter_composition.vl.json,Y,point
251,selection_insert.vl.json,Y,point
252,selection_interval_mark_style.vl.json,Y,heatmap
253,selection_layer.json,Y,point
254,selection_layer_bar_month.vl.json,Y,bar
255,selection_multi_condition.vl.json,Y,point
256,selection_project_binned_interval.vl.json,Y,bar
257,selection_project_interval.vl.json,Y,heatmap
258,selection_project_interval_x.vl.json,Y,heatmap
259,selection_project_interval_x_y.vl.json,Y,heatmap
260,selection_project_interval_y.vl.json,Y,heatmap
261,selection_project_multi.vl.json,Y,point
262,selection_project_multi_cylinders.vl.json,Y,point
263,selection_project_multi_cylinders_origin.vl.json,Y,point
264,selection_project_multi_origin.vl.json,Y,point
265,selection_project_single.vl.json,Y,point
266,selection_project_single_cylinders.vl.json,Y,point
267,selection_project_single_cylinders_origin.vl.json,Y,point
268,selection_project_single_origin.vl.json,Y,point
269,selection_resolution_global.vl.json,Y,point
270,selection_resolution_intersect.vl.json,Y,point
271,selection_resolution_union.vl.json,Y,point
272,selection_toggle_altKey.vl.json,Y,point
273,selection_toggle_altKey_shiftKey.vl.json,Y,point
274,selection_toggle_shiftKey.vl.json,Y,point
275,selection_translate_brush_drag.vl.json,extent,point
276,selection_translate_brush_shift-drag.vl.json,extent,point
277,selection_translate_scatterplot_drag.vl.json,extent,point
278,selection_translate_scatterplot_shift-drag.vl.json,extent,point
279,selection_type_interval.vl.json,Y,heatmap
280,selection_type_interval_invert.vl.json,Y,heatmap
281,selection_type_multi.vl.json,Y,heatmap
282,selection_type_single.vl.json,Y,heatmap
283,selection_type_single_dblclick.vl.json,Y,heatmap
284,selection_type_single_mouseover.vl.json,Y,heatmap
285,selection_zoom_brush_shift-wheel.vl.json,extent,point
286,selection_zoom_brush_wheel.vl.json,extent,point
287,selection_zoom_scatterplot_shift-wheel.vl.json,extent,point
288,selection_zoom_scatterplot_wheel.vl.json,extent,point
289,square.vl.json,Y,square.vl.json
290,stacked_area.vl.json,Y,area
291,stacked_area_normalize.vl.json,Y,area
292,stacked_area_ordinal.vl.json,Y,area
